new entry "Dome_OdinSpectre_StyxianPortal"
type "SkillData"
data "SkillType" "Dome"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Death"
data "Tier" "Master"
data "ActionPoints" "2"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "Lifetime" "3"
data "TargetConditions" "Character;!Dead"
data "AuraSelf" "OdinSpectre_EXALTED"
data "AuraAllies" "OdinSpectre_EXALTED"
data "AuraEnemies" "OdinSpectre_LAMENTED"
data "TargetRadius" "9"
data "AreaRadius" "4"
data "MemorizationRequirements" "Necromancy 5"
data "Icon" "OBSPECTRE_Skill_StyxianPortal"
data "DisplayName" "Dome_OdinSpectre_StyxianPortal_DisplayName"
data "DisplayNameRef" "Styxian Portal"
data "Description" "Dome_OdinSpectre_StyxianPortal_Description"
data "DescriptionRef" "Open a gateway to the River Styx lasting 3 turns. The portal has a 4m radius and affects both <font color="#88a25b">allies</font> and <font color="#aa3938">enemies</font>. <br><br><font color="#88a25b">Allies</font> become <font color="#67ffdd">Exalted</font>, granting <font color="#40b606">[1]% Damage</font> and additional <font color="#40b606">Movement</font>. <br><br><font color="#aa3938">Enemies</font> become <font color="#67ffdd">Lamented</font>, causing <font color="#c80030">[2]% Damage</font> and <font color="#c80030">[3]% Movement Speed</font>."
data "StatsDescriptionParams" "Potion:Stats_OdinSpectre_Exalted:DamageBoost;Potion:Stats_OdinSpectre_Lamented:DamageBoost;Potion:Stats_OdinSpectre_Lamented:MovementSpeedBoost;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_weapon_01_start"
data "PrepareAnimationLoop" "skill_prepare_weapon_01_loop"
data "PrepareEffect" "OdinSpectre_Prepare_02,KeepRot,Detach:Dummy_Root;OdinSpectre_Hand_02:Dummy_R_HandFX,Dummy_L_HandFX"
data "CastAnimation" "skill_cast_aoe_voodoo_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "OdinSpectre_Cast_01:Dummy_Root;OdinSpectre_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "DomeEffect" "OdinSpectre_Dome_01"

