new entry "Jump_OdinSpectre_Riftwalk"
type "SkillData"
data "SkillType" "Jump"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Death"
data "Tier" "Novice"
data "ActionPoints" "2"
data "Cooldown" "4"
data "AIFlags" "CanNotUse"
data "Damage Multiplier" "72"
data "Damage Range" "8"
data "DamageType" "Physical"
data "SkillProperties" "IF(Enemy):OdinSpectre_PROC_AGONY,100,0;"
data "TargetRadius" "10"
data "HitRadius" "2"
data "DeathType" "DoT"
data "Damage On Jump" "No"
data "Damage On Landing" "Yes"
data "Icon" "OBSPECTRE_Skill_Riftwalk"
data "DisplayName" "Jump_OdinSpectre_Riftwalk_DisplayName"
data "DisplayNameRef" "Riftwalk"
data "Description" "Jump_OdinSpectre_Riftwalk_Description"
data "DescriptionRef" "Shift into a ghostly shade and re-emerge at target location, dealing [1] and applying a stack of <font color="#67ffdd">Agony</font> to all enemies hit. <br><br>A target may be afflicted with up to five stacks of <font color="#67ffdd">Agony</font>, each dealing <font color="#c80030">piercing damage</font> on apply and on each turn."
data "StatsDescriptionParams" "Damage;TargetRadius;"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "OdinSpectre_Root_01,KeepRot,Detach:Dummy_Root;OdinSpectre_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX"
data "CastAnimation" "skill_cast_teleport_air_01_cast"
data "CastTextEvent" "cast"
data "TeleportTextEvent" "teleport"
data "CastEffect" "OdinSpectre_Invisible_01:root"
data "PreviewEffect" "RS3_FX_UI_Targeter_03"
data "LandingEffect" "OdinSpectre_Root_02:root:cast"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "Requirements" "!Immobile"
data "MemorizationRequirements" "Necromancy 2"

