new entry "Rain_OdinSpectre_Dreadfall"
type "SkillData"
data "SkillType" "Rain"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Death"
data "Tier" "Starter"
data "ActionPoints" "1"
data "Cooldown" "5"
data "Lifetime" "2"
data "SurfaceStatusChance" "100"
data "SkillProperties" "OdinSpectre_DREAD,100,2;"
data "TargetRadius" "13"
data "TargetConditions" "Character;Enemy"
data "UseCharacterStats" "No"
data "UseWeaponDamage" "No"
data "UseWeaponProperties" "No"
data "AreaRadius" "5"
data "TotalSurfaceCells" "250"
data "SurfaceGrowStep" "10"
data "SurfaceGrowInterval" "100"
data "MemorizationRequirements" "Necromancy 1"
data "Icon" "OBSPECTRE_Skill_Dreadfall"
data "DisplayName" "Rain_OdinSpectre_Dreadfall_DisplayName"
data "DisplayNameRef" "Dreadfall"
data "Description" "Rain_OdinSpectre_Dreadfall_Description"
data "DescriptionRef" "Muster a dreadful downpour in the target area lasting 2 turns. <br><br>Enemies within are afflicted with <font color="#67ffdd">Dread</font>, causing <font color="#c80030">[1]% Piercing and Physical Resistances</font> for 2 turns."
data "StatsDescription" "Rain_OdinSpectre_Dreadfall_StatsDescription"
data "StatsDescriptionRef" "Radius: [1]<br>Duration: [2]<br>Creates water puddles on terrain, douses fires, and makes characters wet. Wet makes target less resistant to air spells but more resistant to fire spells."
data "StatsDescriptionParams" "Potion:Stats_OdinSpectre_Dread:PiercingResistance;AreaRadius;Lifetime"
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_water_01_start"
data "PrepareAnimationLoop" "skill_prepare_water_01_loop"
data "PrepareEffect" "OdinSpectre_Prepare_04,KeepRot;OdinSpectre_Hand_01:Dummy_R_HandFX,Dummy_L_HandFX"
data "CastAnimation" "skill_cast_aoe_water_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Water_Cast_AoE_Water_Root_01"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "RainEffect" "OdinSpectre_Rain_SoulShower_01"
data "ConsequencesStartTime" "1000"

