new entry "Storm_OdinSpectre_AgonyOfTheDamned"
type "SkillData"
data "SkillType" "Storm"
data "ForGameMaster" "Yes"
data "Ability" "Death"
data "Tier" "Master"
data "ActionPoints" "4"
data "Cooldown" "6"
data "AIFlags" "CanNotUse"
data "TargetRadius" "17"
data "AreaRadius" "10"
data "TargetConditions" "NonSelf;Enemy"
data "OverrideSkillLevel" "No"
data "DeathType" "DoT"
data "HitRadius" "1"
data "Lifetime" "2"
data "MinHitsPerTurn" "6"
data "MaxHitsPerTurn" "6"
data "HitDelay" "0"
data "MemorizationRequirements" "Necromancy 5"
data "Icon" "OBSPECTRE_Skill_AgonyOfTheDamned"
data "DisplayName" "Storm_OdinSpectre_AgonyOfTheDamned_DisplayName"
data "DisplayNameRef" "Agony of the Damned"
data "Description" "Storm_OdinSpectre_AgonyOfTheDamned_Description"
data "DescriptionRef" "Conjure a storm of malefic souls, causing them to rain down on 6 targets for 2 turns, each dealing [1]. <br><br>The souls also apply <font color="#67ffdd">five Agony</font> stacks each hit, dealing [2] on-apply and each turn."
data "StatsDescriptionParams" "Skill:ProjectileStrike_OdinSpectre_AgonyBolt:Damage;Weapon:Damage_OdinSpectre_Agony5:Damage;"
data "FXScale" "120"
data "PrepareAnimationInit" "skill_prepare_air_01_start"
data "PrepareAnimationLoop" "skill_prepare_air_01_loop"
data "PrepareEffect" "OdinSpectre_Prepare_04,KeepRot,Detach:Dummy_Root;OdinSpectre_Hand_02:Dummy_R_HandFX,Dummy_L_HandFX"
data "CastAnimation" "skill_cast_aoe_air_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_01:Dummy_L_HandFX;RS3_FX_Skills_Air_Cast_Cone_Air_Tornado_Hand_Cast_01:Dummy_L_HandFX,Dummy_R_HandFX:cast"
data "TargetEffect" "RS3_FX_Skills_Air_Target_Lightning_01"
data "StormEffect" "OdinSpectre_Storm_01"
data "Memory Cost" "3"
data "Magic Cost" "3"
data "ProjectileSkills" "ProjectileStrike_OdinSpectre_AgonyBolt"

