new entry "Teleportation_OdinSpectre_MercifulResurrection"
type "SkillData"
data "SkillType" "Teleportation"
data "ForGameMaster" "Yes"
data "IsEnemySkill" "No"
data "Ability" "Death"
data "Tier" "Master"
data "ActionPoints" "3"
data "Cooldown" "-1"
data "AIFlags" "CanNotUse"
data "Memory Cost" "1"
data "Magic Cost" "0"
data "TargetRadius" "13"
data "AreaRadius" "13"
data "TeleportDelay" "500"
data "SkillProperties" "Resurrect,100,50;"
data "TargetConditions" "Player;Dead;!Tagged:BLOCK_RESURRECTION;"
data "TeleportSelf" "No"
data "CanTargetCharacters" "No"
data "CanTargetItems" "No"
data "CanTargetTerrain" "Yes"
data "MemorizationRequirements" "Necromancy 3; WaterSpecialist 1;"
data "Icon" "OBSPECTRE_Skill_MercifulResurrection"
data "DisplayName" "Teleportation_OdinSpectre_MercifulResurrection_DisplayName"
data "DisplayNameRef" "Merciful Resurrection"
data "Description" "Teleportation_OdinSpectre_MercifulResurrection_Description"
data "DescriptionRef" "Take pity on the soul of a fallen ally, <font color="#67ffdd">Resurrecting</font> them at <font color="#97fbff">50% Vitality</font>. <br><br>May only be used once per combat."
data "FXScale" "100"
data "PrepareAnimationInit" "skill_prepare_soul_01_start"
data "PrepareAnimationLoop" "skill_prepare_soul_01_loop"
data "PrepareEffect" "RS3_FX_Soul_Prepare_Soul_LastRites_Hand_01:Dummy_R_Hand;RS3_FX_Soul_Prepare_Soul_LastRites_Hand_02:Dummy_R_Hand,Dummy_L_Hand;RS3_FX_Soul_Prepare_Soul_LastRites_Hand_Loop_01:Dummy_R_Hand"
data "CastAnimation" "skill_cast_target_soul_01_cast"
data "CastTextEvent" "cast"
data "CastEffect" "RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_01:Dummy_R_HandFX;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_02:Dummy_L_HandFX;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Hand_Cast_01:Dummy_L_HandFX:cast;RS3_FX_Skills_Soul_Cast_Target_Cast_LastRites_Body_01:Dummy_BodyFX:cast"
data "PreviewEffect" "RS3_FX_UI_TargetPreviewer_Soul_01"
data "DisappearEffect" "RS3_FX_GP_Combat_Death_Generic_Dissolve_01,Detach;RS3_FX_GP_Combat_Death_Generic_Dissolve_Body_01"

